@relation pl-tagged-with_images-aggregate-ad-age

@attribute 'Image Hash' {116698595132761:40b2e1869c404365471afdb2effedc12,116698595132761:8c33b139c3720a7045767311af33e705,116698595132761:de36e80732d3e2190003bda99acb73f4,116698595132761:6f75c3b93f13c42225954a820dcfe49d,116698595132761:83a32dc15ebdb84c61c2328b558865b2,116698595132761:56105dbc02aa3b2d418a8fcd834bc532,116698595132761:9e2e8b1ab7de3f5aa3778a1110b0a700,116698595132761:6f4674dcfff6b02531bd008e595f2eb8,116698595132761:67c7450182c3ce5db986a4b6d3805c0e,116698595132761:6b36ad4cf683af9dd388bd67b31f30cc,116698595132761:eacd0f1fc32e39e792f4f523f4888e34}
@attribute Gender {Women,Men}
@attribute Clicks numeric
@attribute Impressions numeric
@attribute body-albo numeric
@attribute title-ciekawą numeric
@attribute body-dołącz numeric
@attribute body-dziś numeric
@attribute title-lubi numeric
@attribute title-ludzi numeric
@attribute title-miasta numeric
@attribute body-miejsce numeric
@attribute body-niusy numeric
@attribute body-okolicy numeric
@attribute body-osób numeric
@attribute title-osób numeric
@attribute body-pogadać numeric
@attribute title-poznać numeric
@attribute body-rozrywka numeric
@attribute body-socializing numeric
@attribute body-spotkać numeric
@attribute body-super numeric
@attribute body-surfuj numeric
@attribute title-szuka numeric
@attribute body-teraz numeric
@attribute body-topie numeric
@attribute title-towarzyskie numeric
@attribute body-twoich numeric
@attribute body-zaznaj numeric
@attribute body-zechcesz numeric
@attribute body-znajomi numeric
@attribute body-zwlekaj numeric
@attribute title-życie numeric
@attribute CTR-Low numeric
@attribute CTR-High numeric

@data
116698595132761:40b2e1869c404365471afdb2effedc12,Women,1,8626,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0.000343
116698595132761:40b2e1869c404365471afdb2effedc12,Women,1357,5163188,0,0,0,1,0,1,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0.000249,0.000277
116698595132761:40b2e1869c404365471afdb2effedc12,Women,2057,7426568,0,0,0,1,0,1,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0.000265,0.000289
116698595132761:40b2e1869c404365471afdb2effedc12,Women,541,2701996,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0.000183,0.000217
116698595132761:8c33b139c3720a7045767311af33e705,Women,3,15031,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0.000425
116698595132761:8c33b139c3720a7045767311af33e705,Women,217,1033349,0,0,0,1,0,1,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0.000182,0.000238
116698595132761:8c33b139c3720a7045767311af33e705,Women,306,1673123,0,0,0,1,0,1,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0.000162,0.000203
116698595132761:8c33b139c3720a7045767311af33e705,Women,376,2221455,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0.000152,0.000186
116698595132761:de36e80732d3e2190003bda99acb73f4,Women,5,28145,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0.000022,0.000333
116698595132761:de36e80732d3e2190003bda99acb73f4,Women,92,366498,0,0,0,1,0,1,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0.0002,0.000302
116698595132761:de36e80732d3e2190003bda99acb73f4,Women,684,3468441,0,0,0,1,0,1,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0.000182,0.000212
116698595132761:de36e80732d3e2190003bda99acb73f4,Women,278,1471076,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0.000167,0.000211
116698595132761:6f75c3b93f13c42225954a820dcfe49d,Women,0,4883,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0
116698595132761:6f75c3b93f13c42225954a820dcfe49d,Women,197,1099819,0,0,0,1,0,1,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0.000154,0.000204
116698595132761:6f75c3b93f13c42225954a820dcfe49d,Women,175,907529,0,0,0,1,0,1,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0.000164,0.000221
116698595132761:6f75c3b93f13c42225954a820dcfe49d,Women,142,826073,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0.000144,0.0002
116698595132761:6f75c3b93f13c42225954a820dcfe49d,Men,109,720696,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0.000123,0.00018
116698595132761:6f75c3b93f13c42225954a820dcfe49d,Men,20,157204,0,0,0,1,0,1,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0.000071,0.000183
116698595132761:6f75c3b93f13c42225954a820dcfe49d,Men,142,823061,0,0,0,1,0,1,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0.000144,0.000201
116698595132761:6f75c3b93f13c42225954a820dcfe49d,Men,4,28600,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0.000003,0.000277
116698595132761:83a32dc15ebdb84c61c2328b558865b2,Women,30,97279,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0.000198,0.000419
116698595132761:83a32dc15ebdb84c61c2328b558865b2,Women,119,580084,0,0,0,1,0,1,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0.000168,0.000242
116698595132761:83a32dc15ebdb84c61c2328b558865b2,Women,336,1605802,0,0,0,1,0,1,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0.000187,0.000232
116698595132761:83a32dc15ebdb84c61c2328b558865b2,Women,257,1497624,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0.000151,0.000193
116698595132761:83a32dc15ebdb84c61c2328b558865b2,Men,57,449401,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0.000094,0.00016
116698595132761:83a32dc15ebdb84c61c2328b558865b2,Men,26,199432,0,0,0,1,0,1,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0.00008,0.00018
116698595132761:83a32dc15ebdb84c61c2328b558865b2,Men,176,966554,0,0,0,1,0,1,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0.000155,0.000209
116698595132761:83a32dc15ebdb84c61c2328b558865b2,Men,9,49724,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0.000063,0.000299
116698595132761:56105dbc02aa3b2d418a8fcd834bc532,Women,36,140906,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0.000172,0.000339
116698595132761:56105dbc02aa3b2d418a8fcd834bc532,Women,467,2592708,0,0,0,1,0,1,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0.000164,0.000196
116698595132761:56105dbc02aa3b2d418a8fcd834bc532,Women,628,3154794,0,0,0,1,0,1,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0.000183,0.000215
