Gender,Age,Banner,Impressions,Clicks
F,19-21,6,291453,111
F,19-21,5,243884,92
F,19-21,1,180158,57
F,19-21,8,16113,4
F,19-21,9,6370,2
F,19-21,2,5736,1
F,19-21,4,5707,1
F,19-21,10,5681,1
F,22-24,3,82913,29
F,22-24,8,70074,25
F,22-24,4,62699,23
F,22-24,6,19397,6
F,25-28,2,201727,125
F,25-28,3,74708,29
F,25-28,5,36099,17
F,25-28,6,17001,7
F,25-28,4,6893,2
F,29-31,9,45441,18
F,29-31,2,34787,15
F,29-31,3,34202,13
F,29-31,7,6771,2
F,32-34,9,154524,90
F,32-34,1,128944,62
F,32-34,7,49346,27
F,32-34,3,13732,9
F,32-34,2,7018,5
M,19-21,2,267843,178
M,19-21,3,198015,64
M,19-21,5,100609,35
M,19-21,10,95446,39
M,19-21,8,34026,15
M,19-21,4,13602,4
M,22-24,9,216651,98
M,22-24,3,174104,70
M,22-24,8,111088,40
M,22-24,5,11200,3
M,22-24,2,7320,2
M,22-24,10,4957,1
M,22-24,6,4502,1
M,25-28,6,202682,139
M,25-28,9,119628,47
M,25-28,4,44865,18
M,25-28,5,20477,7
M,25-28,1,17634,6
M,25-28,2,6788,2
M,25-28,7,4384,1
M,29-31,7,208974,87
M,29-31,2,100672,55
M,29-31,10,37527,17
M,29-31,5,3729,1
M,29-31,1,3629,1
M,29-31,6,3362,1
M,32-34,4,116181,59
M,32-34,9,101276,51
M,32-34,8,35103,16
M,32-34,10,32851,15
M,32-34,7,30785,14
M,32-34,6,6464,3
M,32-34,5,5746,2
M,32-34,3,5714,2
F,19-21,9,213992,75
F,19-21,8,152952,61
F,19-21,3,85476,34
F,19-21,5,83308,26
F,19-21,6,56330,15
F,19-21,2,13023,3
F,19-21,7,6842,1
F,19-21,10,3105,0
F,19-21,1,3021,0
F,19-21,4,2989,0
F,22-24,6,176655,71
F,22-24,1,92605,33
F,22-24,9,55363,18
F,22-24,8,11204,3
F,22-24,10,5224,1
F,22-24,3,5077,1
F,25-28,7,168701,66
F,25-28,1,157615,66
F,25-28,9,95366,41
F,25-28,10,48281,20
F,25-28,5,12812,4
F,25-28,4,12494,4
F,25-28,3,7276,2
F,29-31,8,188283,85
F,29-31,9,106559,53
F,29-31,2,76828,42
F,29-31,5,22061,9
F,29-31,6,3764,1
F,32-34,6,159616,100
F,32-34,2,138488,73
F,32-34,9,92334,56
F,32-34,1,53444,27
F,32-34,8,7908,3
F,32-34,5,7531,3
M,19-21,9,227994,92
M,19-21,6,78955,21
M,19-21,7,77619,21
M,19-21,3,75434,21
M,19-21,2,68137,20
M,19-21,4,67447,19
M,19-21,10,40259,13
M,19-21,8,17287,4
M,19-21,5,10827,2
M,19-21,1,3266,0
M,22-24,7,200423,86
M,22-24,8,158216,68
M,22-24,10,59787,19
M,22-24,2,24431,7
M,22-24,9,2540,0
M,25-28,2,747730,365
M,25-28,9,185179,70
M,25-28,6,46428,20
M,25-28,5,12765,4
M,29-31,6,486376,273
M,29-31,3,37578,14
M,29-31,2,31550,13
M,29-31,1,29781,11
M,29-31,5,12502,5
M,32-34,8,199709,96
M,32-34,3,76326,33
M,32-34,9,15031,5
M,32-34,1,4409,1
F,19-21,8,98958,43
F,19-21,5,54108,16
F,19-21,1,46972,15
F,19-21,4,28524,9
F,19-21,10,15473,5
F,19-21,2,8453,2
F,19-21,7,5186,1
F,22-24,7,38123,16
F,22-24,8,35287,14
F,22-24,6,8478,3
F,22-24,9,3535,1
F,22-24,2,3349,1
F,25-28,9,49149,23
F,25-28,8,15439,6
F,25-28,4,7113,3
F,29-31,6,243836,156
F,29-31,2,34833,20
F,29-31,7,20786,13
F,29-31,5,4515,4
F,32-34,6,91590,66
F,32-34,1,35033,19
F,32-34,9,9416,8
M,19-21,3,236020,135
M,19-21,7,109234,38
M,19-21,10,106352,43
M,19-21,6,55549,22
M,19-21,8,15629,5
M,19-21,5,12793,4
M,19-21,4,3231,1
M,19-21,1,3153,1
M,22-24,2,139346,72
M,22-24,10,57121,33
M,22-24,6,26721,11
M,22-24,9,10917,4
M,22-24,1,4140,1
M,25-28,2,239982,147
M,25-28,6,10185,4
M,25-28,9,10176,4
M,29-31,3,190044,138
M,29-31,6,8645,4
M,32-34,7,26731,14
M,32-34,2,9425,7
F,19-21,6,188268,107
F,19-21,1,20372,6
F,19-21,7,6579,2
F,19-21,8,5902,1
F,19-21,9,5885,1
F,22-24,8,139911,78
F,22-24,10,13385,6
F,22-24,6,7160,3
F,22-24,5,5140,2
F,22-24,9,2800,1
F,25-28,7,102468,56
F,25-28,6,91602,51
F,25-28,2,25016,13
F,25-28,5,8266,4
F,29-31,6,114251,73
F,29-31,7,23189,15
F,29-31,8,4539,4
F,32-34,4,122860,81
F,32-34,9,9145,6
M,19-21,4,124434,53
M,19-21,3,102393,43
M,19-21,8,94356,41
M,19-21,10,65880,32
M,19-21,9,28008,12
M,19-21,1,22413,7
M,19-21,2,21035,7
M,19-21,5,5118,1
M,19-21,6,3576,1
M,22-24,4,206509,115
M,22-24,8,42902,18
M,22-24,9,18734,11
M,22-24,7,8274,3
M,22-24,5,6084,2
M,22-24,1,5996,2
M,22-24,6,3500,1
M,22-24,2,3426,1
M,25-28,4,114724,63
M,25-28,3,39382,17
M,25-28,9,32973,15
M,25-28,1,32511,14
M,29-31,6,118275,104
M,29-31,9,25315,11
M,29-31,5,9185,4
M,29-31,4,5172,2
M,29-31,8,4490,3
M,29-31,3,2923,1
M,32-34,8,258067,172
M,32-34,10,2926,1
M,32-34,6,2924,1
F,19-21,1,72579,27
F,19-21,4,112572,63
F,19-21,2,821091,320
F,19-21,5,35818,13
F,19-21,7,122059,41
F,19-21,6,118029,62
F,19-21,9,68818,24
F,19-21,10,5363,1
M,19-21,1,5485,1
M,19-21,2,257046,186
M,19-21,3,83235,32
M,19-21,4,85882,37
M,19-21,5,432974,160
M,19-21,7,22137,6
M,19-21,8,35819,11
M,19-21,9,310728,111
M,19-21,10,109152,40
F,22-24,1,81901,45
F,22-24,2,501986,238
F,22-24,3,151013,66
F,22-24,4,3629,1
F,22-24,5,3655,1
F,22-24,7,222542,121
F,22-24,6,102068,42
M,22-24,1,16964,5
M,22-24,3,8845,2
M,22-24,4,192821,105
M,22-24,5,17300,5
M,22-24,6,153938,70
M,22-24,8,3126,1
M,22-24,9,34682,11
F,25-28,5,110229,46
F,25-28,6,20179,8
F,25-28,7,198305,110
F,25-28,9,3741,1
M,25-28,1,26695,10
M,25-28,2,425438,234
M,25-28,4,3275,1
M,25-28,3,7248,2
M,25-28,5,4494,1
M,25-28,7,19085,7
M,25-28,10,28801,10
M,29-31,1,3723,1
M,29-31,2,212834,95
M,29-31,3,21645,8
M,29-31,4,16469,6
M,29-31,6,224403,139
M,29-31,7,8928,3
M,29-31,5,8892,3
M,29-31,8,20182,8
F,29-31,1,11594,7
F,29-31,2,254668,163
F,29-31,3,115986,63
F,29-31,5,121936,67
F,29-31,9,37890,24
F,32-34,1,28142,15
F,32-34,3,8360,4
F,32-34,5,258869,154
F,32-34,8,2906,1
F,32-34,10,41268,21
M,32-34,3,38464,17
M,32-34,7,3687,1
M,32-34,8,222162,130
M,32-34,9,20465,10
M,32-34,10,30968,13
