PID,CID,BID,Country,Image,English Title,English Body,Target Gender,Age min,Age max,Target city
2,336,1,PL,Female_2.jpg,8th of March,"On occassion of the Women's Day, we wish oranges to all that have met someone cool on Duego!",F,18,39,
2,336,2,PL,Female_4.jpg,8th of March,"On occassion of the Women's Day, we wish oranges to all that have met someone cool on Duego!",F,18,39,
2,338,1,PL,Male_3.jpg,8th of March,"On occassion of the Women's Day, we wish oranges to all that have met someone cool on Duego!",M,18,39,
2,338,2,PL,Male_4.jpg,8th of March,"On occassion of the Women's Day, we wish oranges to all that have met someone cool on Duego!",M,18,39,
2,338,3,PL,Male_5.jpg,8th of March,"On occassion of the Women's Day, we wish oranges to all that have met someone cool on Duego!",M,18,39,
2,336,3,PL,Female_1.jpg,8th of March. Are you ready?,The Women's Day is a good occassion to meet someone new on Duego. They are waiting for you. Join!,F,18,39,
2,336,4,PL,Female_3.jpg,8th of March. Are you ready?,The Women's Day is a good occassion to meet someone new on Duego. They are waiting for you. Join!,F,18,39,
2,336,5,PL,Female_5.jpg,8th of March. Are you ready?,The Women's Day is a good occassion to meet someone new on Duego. They are waiting for you. Join!,F,18,39,
2,387,2,PL,pl_march-context_female_3.jpeg,A scout or a policewoman?,Get to know it yourself joining Duego. It's entertainment and socializing for FREE!,M,18,20,
2,388,2,PL,pl_march-context_female_3.jpeg,A scout or a policewoman?,Get to know it yourself joining Duego. It's entertainment and socializing for FREE!,M,21,25,
2,389,2,PL,pl_march-context_female_3.jpeg,A scout or a policewoman?,Get to know it yourself joining Duego. It's entertainment and socializing for FREE!,M,26,30,
2,390,2,PL,pl_march-context_female_3.jpeg,A scout or a policewoman?,Get to know it yourself joining Duego. It's entertainment and socializing for FREE!,M,31,39,
2,391,2,PL,pl_march-context_female_3.jpeg,A scout or a policewoman?,Get to know it yourself joining Duego. It's entertainment and socializing for FREE!,M,18,39,
2,398,27,BR,br_revised_male_01.jpg,A smile says everything,"Join funny, young and modern people at Duego.",F,18,25,
2,398,28,BR,br_revised_male_02.jpg,A smile says everything,"Join funny, young and modern people at Duego.",F,18,25,
2,398,29,BR,br_revised_male_03.jpg,A smile says everything,"Join funny, young and modern people at Duego.",F,18,25,
2,398,30,BR,br_revised_male_04.jpg,A smile says everything,"Join funny, young and modern people at Duego.",F,18,25,
2,398,31,BR,br_revised_male_05.jpg,A smile says everything,"Join funny, young and modern people at Duego.",F,18,25,
2,398,32,BR,br_revised_male_06.jpg,A smile says everything,"Join funny, young and modern people at Duego.",F,18,25,
2,398,33,BR,br_revised_male_07.jpg,A smile says everything,"Join funny, young and modern people at Duego.",F,18,25,
2,398,34,BR,br_revised_male_08.jpg,A smile says everything,"Join funny, young and modern people at Duego.",F,18,25,
2,398,35,BR,br_revised_male_09.jpg,A smile says everything,"Join funny, young and modern people at Duego.",F,18,25,
2,398,36,BR,br_revised_male_10.jpg,A smile says everything,"Join funny, young and modern people at Duego.",F,18,25,
2,398,37,BR,br_revised_male_11.jpg,A smile says everything,"Join funny, young and modern people at Duego.",F,18,25,
2,398,38,BR,br_revised_male_12.jpg,A smile says everything,"Join funny, young and modern people at Duego.",F,18,25,
2,398,39,BR,br_revised_male_13.jpg,A smile says everything,"Join funny, young and modern people at Duego.",F,18,25,
2,398,40,BR,br_revised_male_14.jpg,A smile says everything,"Join funny, young and modern people at Duego.",F,18,25,
2,398,41,BR,br_revised_male_15.jpg,A smile says everything,"Join funny, young and modern people at Duego.",F,18,25,
2,398,42,BR,br_revised_male_16.jpg,A smile says everything,"Join funny, young and modern people at Duego.",F,18,25,
2,398,43,BR,br_revised_male_17.jpg,A smile says everything,"Join funny, young and modern people at Duego.",F,18,25,
2,398,44,BR,br_revised_male_18.jpg,A smile says everything,"Join funny, young and modern people at Duego.",F,18,25,
2,398,45,BR,br_revised_male_19.jpg,A smile says everything,"Join funny, young and modern people at Duego.",F,18,25,
2,398,46,BR,br_revised_male_20.jpg,A smile says everything,"Join funny, young and modern people at Duego.",F,18,25,
2,398,47,BR,br_revised_male_21.jpg,A smile says everything,"Join funny, young and modern people at Duego.",F,18,25,
2,398,48,BR,br_revised_male_22.jpg,A smile says everything,"Join funny, young and modern people at Duego.",F,18,25,
2,398,49,BR,br_revised_male_23.jpg,A smile says everything,"Join funny, young and modern people at Duego.",F,18,25,
2,398,50,BR,br_revised_male_24.jpg,A smile says everything,"Join funny, young and modern people at Duego.",F,18,25,
2,398,51,BR,br_revised_male_25.jpg,A smile says everything,"Join funny, young and modern people at Duego.",F,18,25,
2,398,52,BR,br_revised_male_26.jpg,A smile says everything,"Join funny, young and modern people at Duego.",F,18,25,
2,399,27,BR,br_revised_male_01.jpg,A smile says everything,"Join funny, young and modern people at Duego.",F,26,30,
2,399,28,BR,br_revised_male_02.jpg,A smile says everything,"Join funny, young and modern people at Duego.",F,26,30,
2,399,29,BR,br_revised_male_03.jpg,A smile says everything,"Join funny, young and modern people at Duego.",F,26,30,
2,399,30,BR,br_revised_male_04.jpg,A smile says everything,"Join funny, young and modern people at Duego.",F,26,30,
2,399,31,BR,br_revised_male_05.jpg,A smile says everything,"Join funny, young and modern people at Duego.",F,26,30,
2,399,32,BR,br_revised_male_06.jpg,A smile says everything,"Join funny, young and modern people at Duego.",F,26,30,
2,399,33,BR,br_revised_male_07.jpg,A smile says everything,"Join funny, young and modern people at Duego.",F,26,30,
2,399,34,BR,br_revised_male_08.jpg,A smile says everything,"Join funny, young and modern people at Duego.",F,26,30,
2,399,35,BR,br_revised_male_09.jpg,A smile says everything,"Join funny, young and modern people at Duego.",F,26,30,
2,399,36,BR,br_revised_male_10.jpg,A smile says everything,"Join funny, young and modern people at Duego.",F,26,30,
2,399,37,BR,br_revised_male_11.jpg,A smile says everything,"Join funny, young and modern people at Duego.",F,26,30,
2,399,38,BR,br_revised_male_12.jpg,A smile says everything,"Join funny, young and modern people at Duego.",F,26,30,
2,399,39,BR,br_revised_male_13.jpg,A smile says everything,"Join funny, young and modern people at Duego.",F,26,30,
2,399,40,BR,br_revised_male_14.jpg,A smile says everything,"Join funny, young and modern people at Duego.",F,26,30,
2,399,41,BR,br_revised_male_15.jpg,A smile says everything,"Join funny, young and modern people at Duego.",F,26,30,
2,399,42,BR,br_revised_male_16.jpg,A smile says everything,"Join funny, young and modern people at Duego.",F,26,30,
2,399,43,BR,br_revised_male_17.jpg,A smile says everything,"Join funny, young and modern people at Duego.",F,26,30,
2,399,44,BR,br_revised_male_18.jpg,A smile says everything,"Join funny, young and modern people at Duego.",F,26,30,
