City,Gender,Age,Banner,Impressions,Clicks
Monterrey,M,2,9,2540,0
Toluca,F,2,9,2800,1
Toluca,M,4,3,2923,1
Toluca,M,5,6,2924,1
Toluca,M,5,10,2926,1
Monterrey,F,1,4,2989,0
Monterrey,F,1,1,3021,0
Monterrey,F,1,10,3105,0
Queretaro,M,1,1,3153,1
Queretaro,M,1,4,3231,1
Monterrey,M,1,1,3266,0
Queretaro,F,2,2,3349,1
Guadalajara,M,4,6,3362,1
Toluca,M,2,2,3426,1
Toluca,M,2,6,3500,1
Queretaro,F,2,9,3535,1
Toluca,M,1,6,3576,1
Guadalajara,M,4,1,3629,1
Guadalajara,M,4,5,3729,1
Monterrey,F,4,6,3764,1
Queretaro,M,2,1,4140,1
Guadalajara,M,3,7,4384,1
Monterrey,M,5,1,4409,1
Toluca,M,4,8,4490,3
Guadalajara,M,2,6,4502,1
Queretaro,F,4,5,4515,4
Toluca,F,4,8,4539,4
Guadalajara,M,2,10,4957,1
Monterrey,F,2,3,5077,1
Toluca,M,1,5,5118,1
Toluca,F,2,5,5140,2
Toluca,M,4,4,5172,2
Queretaro,F,1,7,5186,1
Monterrey,F,2,10,5224,1
Guadalajara,F,1,10,5681,1
Guadalajara,F,1,4,5707,1
Guadalajara,M,5,3,5714,2
Guadalajara,F,1,2,5736,1
Guadalajara,M,5,5,5746,2
Toluca,F,1,9,5885,1
Toluca,F,1,8,5902,1
Toluca,M,2,1,5996,2
Toluca,M,2,5,6084,2
Guadalajara,F,1,9,6370,2
Guadalajara,M,5,6,6464,3
Toluca,F,1,7,6579,2
Guadalajara,F,4,7,6771,2
Guadalajara,M,3,2,6788,2
Monterrey,F,1,7,6842,1
Guadalajara,F,3,4,6893,2
Guadalajara,F,5,2,7018,5
Queretaro,F,3,4,7113,3
Toluca,F,2,6,7160,3
Monterrey,F,3,3,7276,2
Guadalajara,M,2,2,7320,2
Monterrey,F,5,5,7531,3
Monterrey,F,5,8,7908,3
Toluca,F,3,5,8266,4
Toluca,M,2,7,8274,3
Queretaro,F,1,2,8453,2
Queretaro,F,2,6,8478,3
Queretaro,M,4,6,8645,4
Toluca,F,5,9,9145,6
Toluca,M,4,5,9185,4
Queretaro,F,5,9,9416,8
Queretaro,M,5,2,9425,7
Queretaro,M,3,9,10176,4
Queretaro,M,3,6,10185,4
Monterrey,M,1,5,10827,2
Queretaro,M,2,9,10917,4
Guadalajara,M,2,5,11200,3
Monterrey,F,2,8,11204,3
Monterrey,F,3,4,12494,4
Monterrey,M,4,5,12502,5
Monterrey,M,3,5,12765,4
Queretaro,M,1,5,12793,4
Monterrey,F,3,5,12812,4
Monterrey,F,1,2,13023,3
Toluca,F,2,10,13385,6
Guadalajara,M,1,4,13602,4
Guadalajara,F,5,3,13732,9
Monterrey,M,5,9,15031,5
Queretaro,F,3,8,15439,6
Queretaro,F,1,10,15473,5
Queretaro,M,1,8,15629,5
Guadalajara,F,1,8,16113,4
Guadalajara,F,3,6,17001,7
Monterrey,M,1,8,17287,4
Guadalajara,M,3,1,17634,6
Toluca,M,2,9,18734,11
Guadalajara,F,2,6,19397,6
Toluca,F,1,1,20372,6
Guadalajara,M,3,5,20477,7
Queretaro,F,4,7,20786,13
Toluca,M,1,2,21035,7
Monterrey,F,4,5,22061,9
Toluca,M,1,1,22413,7
Toluca,F,4,7,23189,15
Monterrey,M,2,2,24431,7
Toluca,F,3,2,25016,13
Toluca,M,4,9,25315,11
Queretaro,M,2,6,26721,11
Queretaro,M,5,7,26731,14
Toluca,M,1,9,28008,12
Queretaro,F,1,4,28524,9
Monterrey,M,4,1,29781,11
Guadalajara,M,5,7,30785,14
Monterrey,M,4,2,31550,13
Toluca,M,3,1,32511,14
Guadalajara,M,5,10,32851,15
Toluca,M,3,9,32973,15
Guadalajara,M,1,8,34026,15
Guadalajara,F,4,3,34202,13
Guadalajara,F,4,2,34787,15
Queretaro,F,4,2,34833,20
Queretaro,F,5,1,35033,19
Guadalajara,M,5,8,35103,16
Queretaro,F,2,8,35287,14
Guadalajara,F,3,5,36099,17
Guadalajara,M,4,10,37527,17
Monterrey,M,4,3,37578,14
Queretaro,F,2,7,38123,16
Toluca,M,3,3,39382,17
Monterrey,M,1,10,40259,13
Toluca,M,2,8,42902,18
Guadalajara,M,3,4,44865,18
Guadalajara,F,4,9,45441,18
Monterrey,M,3,6,46428,20
Queretaro,F,1,1,46972,15
Monterrey,F,3,10,48281,20
Queretaro,F,3,9,49149,23
Guadalajara,F,5,7,49346,27
Monterrey,F,5,1,53444,27
Queretaro,F,1,5,54108,16
Monterrey,F,2,9,55363,18
Queretaro,M,1,6,55549,22
Monterrey,F,1,6,56330,15
Queretaro,M,2,10,57121,33
Monterrey,M,2,10,59787,19
Guadalajara,F,2,4,62699,23
Toluca,M,1,10,65880,32
Monterrey,M,1,4,67447,19
Monterrey,M,1,2,68137,20
Guadalajara,F,2,8,70074,25
Guadalajara,F,3,3,74708,29
Monterrey,M,1,3,75434,21
Monterrey,M,5,3,76326,33
Monterrey,F,4,2,76828,42
Monterrey,M,1,7,77619,21
Monterrey,M,1,6,78955,21
Guadalajara,F,2,3,82913,29
Monterrey,F,1,5,83308,26
Monterrey,F,1,3,85476,34
Queretaro,F,5,6,91590,66
Toluca,F,3,6,91602,51
Monterrey,F,5,9,92334,56
Monterrey,F,2,1,92605,33
Toluca,M,1,8,94356,41
Monterrey,F,3,9,95366,41
Guadalajara,M,1,10,95446,39
Queretaro,F,1,8,98958,43
Guadalajara,M,1,5,100609,35
Guadalajara,M,4,2,100672,55
Guadalajara,M,5,9,101276,51
Toluca,M,1,3,102393,43
Toluca,F,3,7,102468,56
Queretaro,M,1,10,106352,43
Monterrey,F,4,9,106559,53
Queretaro,M,1,7,109234,38
Guadalajara,M,2,8,111088,40
Toluca,F,4,6,114251,73
Toluca,M,3,4,114724,63
Guadalajara,M,5,4,116181,59
Toluca,M,4,6,118275,104
Guadalajara,M,3,9,119628,47
Toluca,F,5,4,122860,81
Toluca,M,1,4,124434,53
Guadalajara,F,5,1,128944,62
Monterrey,F,5,2,138488,73
Queretaro,M,2,2,139346,72
Toluca,F,2,8,139911,78
Monterrey,F,1,8,152952,61
Guadalajara,F,5,9,154524,90
Monterrey,F,3,1,157615,66
Monterrey,M,2,8,158216,68
Monterrey,F,5,6,159616,100
Monterrey,F,3,7,168701,66
Guadalajara,M,2,3,174104,70
Monterrey,F,2,6,176655,71
Guadalajara,F,1,1,180158,57
Monterrey,M,3,9,185179,70
Toluca,F,1,6,188268,107
Monterrey,F,4,8,188283,85
Queretaro,M,4,3,190044,138
Guadalajara,M,1,3,198015,64
Monterrey,M,5,8,199709,96
Monterrey,M,2,7,200423,86
Guadalajara,F,3,2,201727,125
Guadalajara,M,3,6,202682,139
Toluca,M,2,4,206509,115
Guadalajara,M,4,7,208974,87
Monterrey,F,1,9,213992,75
Guadalajara,M,2,9,216651,98
Monterrey,M,1,9,227994,92
Queretaro,M,1,3,236020,135
Queretaro,M,3,2,239982,147
Queretaro,F,4,6,243836,156
Guadalajara,F,1,5,243884,92
Toluca,M,5,8,258067,172
Guadalajara,M,1,2,267843,178
Guadalajara,F,1,6,291453,111
Monterrey,M,4,6,486376,273
Monterrey,M,3,2,747730,365
