@relation pl-tagged-with_images-weka.filters.unsupervised.attribute.RemoveUseless-M100.0

% Gender: 0 = Women, 1 = Men
@attribute Image {40b2e186,8c33b139,de36e807,6f75c3b9,83a32dc1,56105dbc,9e2e8b1a,6f4674dc,67c74501,6b36ad4c,eacd0f1f}
@attribute Gender numeric
@attribute Clicks numeric
@attribute Impressions numeric
@attribute Text {Text1, Text2, Text3, Text4}

@data
40b2e186,0,1,8626,Text1
40b2e186,0,1357,5163188,Text2
40b2e186,0,2057,7426568,Text3
40b2e186,0,541,2701996,Text4
8c33b139,0,3,15031,Text1
8c33b139,0,217,1033349,Text2
8c33b139,0,306,1673123,Text3
8c33b139,0,376,2221455,Text4
de36e807,0,5,28145,Text1
de36e807,0,92,366498,Text2
de36e807,0,684,3468441,Text3
de36e807,0,278,1471076,Text4
6f75c3b9,0,0,4883,Text1
6f75c3b9,0,197,1099819,Text2
6f75c3b9,0,175,907529,Text3
6f75c3b9,0,142,826073,Text4
6f75c3b9,1,109,720696,Text1
6f75c3b9,1,20,157204,Text2
6f75c3b9,1,142,823061,Text3
6f75c3b9,1,4,28600,Text4
83a32dc1,0,30,97279,Text1
83a32dc1,0,119,580084,Text2
83a32dc1,0,336,1605802,Text3
83a32dc1,0,257,1497624,Text4
83a32dc1,1,57,449401,Text1
83a32dc1,1,26,199432,Text2
83a32dc1,1,176,966554,Text3
83a32dc1,1,9,49724,Text4
56105dbc,0,36,140906,Text1
56105dbc,0,467,2592708,Text2
56105dbc,0,628,3154794,Text3
56105dbc,0,95,663642,Text4
56105dbc,1,404,2413211,Text1
56105dbc,1,372,1760334,Text2
56105dbc,1,788,3675347,Text3
56105dbc,1,60,289345,Text4
9e2e8b1a,0,6,26200,Text1
9e2e8b1a,0,63,357961,Text2
9e2e8b1a,0,701,3440050,Text3
9e2e8b1a,0,118,629757,Text4
9e2e8b1a,1,204,1361976,Text1
9e2e8b1a,1,100,528703,Text2
9e2e8b1a,1,172,917544,Text3
9e2e8b1a,1,24,114309,Text4
6f4674dc,0,15,59419,Text1
6f4674dc,0,3335,11660256,Text2
6f4674dc,0,6127,23021110,Text3
6f4674dc,0,732,3997787,Text4
6f4674dc,1,564,2938885,Text1
6f4674dc,1,2193,9186975,Text2
6f4674dc,1,3090,12221059,Text3
6f4674dc,1,3,20689,Text4
67c74501,1,629,3547852,Text1
67c74501,1,291,1387366,Text2
67c74501,1,1376,5054348,Text3
67c74501,1,20,88726,Text4
6b36ad4c,1,109,697721,Text1
6b36ad4c,1,27,198350,Text2
6b36ad4c,1,166,878881,Text3
6b36ad4c,1,3,21346,Text4
eacd0f1f,1,194,1130467,Text1
eacd0f1f,1,340,1842837,Text2
eacd0f1f,1,393,2165944,Text3
eacd0f1f,1,12,54344,Text4
