@relation pl-tagged-with_images-women-clicks-impressions-weka.filters.unsupervised.attribute.RemoveUseless-M99.0

@attribute Image {40b2e186,8c33b139,de36e807,6f75c3b9,83a32dc1,56105dbc,9e2e8b1a,6f4674dc}
@attribute Text {Text1,Text2,Text3,Text4}
@attribute CTR-Mean numeric
@attribute CTR-Delta numeric

@data
40b2e186,Text1,0.000116,0.000227
40b2e186,Text2,0.000263,0.000014
40b2e186,Text3,0.000277,0.000012
40b2e186,Text4,0.0002,0.000017
8c33b139,Text1,0.0002,0.000226
8c33b139,Text2,0.00021,0.000028
8c33b139,Text3,0.000183,0.00002
8c33b139,Text4,0.000169,0.000017
de36e807,Text1,0.000178,0.000156
de36e807,Text2,0.000251,0.000051
de36e807,Text3,0.000197,0.000015
de36e807,Text4,0.000189,0.000022
6f75c3b9,Text1,0,0
6f75c3b9,Text2,0.000179,0.000025
6f75c3b9,Text3,0.000193,0.000029
6f75c3b9,Text4,0.000172,0.000028
83a32dc1,Text1,0.000308,0.00011
83a32dc1,Text2,0.000205,0.000037
83a32dc1,Text3,0.000209,0.000022
83a32dc1,Text4,0.000172,0.000021
56105dbc,Text1,0.000255,0.000083
56105dbc,Text2,0.00018,0.000016
56105dbc,Text3,0.000199,0.000016
56105dbc,Text4,0.000143,0.000029
9e2e8b1a,Text1,0.000229,0.000183
9e2e8b1a,Text2,0.000176,0.000043
9e2e8b1a,Text3,0.000204,0.000015
9e2e8b1a,Text4,0.000187,0.000034
6f4674dc,Text1,0.000252,0.000128
6f4674dc,Text2,0.000286,0.00001
6f4674dc,Text3,0.000266,0.000007
6f4674dc,Text4,0.000183,0.000013
