@relation pl-tagged-with_images-women-clicks-impressions

@attribute Image {40b2e186,8c33b139,de36e807,6f75c3b9,83a32dc1,56105dbc,9e2e8b1a,6f4674dc}
@attribute Text {Text1, Text2, Text3, Text4}
@attribute Actions numeric
@attribute Impressions numeric

@data
40b2e186,Text1,1,8626
40b2e186,Text2,1357,5163188
40b2e186,Text3,2057,7426568
40b2e186,Text4,541,2701996
8c33b139,Text1,3,15031
8c33b139,Text2,217,1033349
8c33b139,Text3,306,1673123
8c33b139,Text4,376,2221455
de36e807,Text1,5,28145
de36e807,Text2,92,366498
de36e807,Text3,684,3468441
de36e807,Text4,278,1471076
6f75c3b9,Text1,0,4883
6f75c3b9,Text2,197,1099819
6f75c3b9,Text3,175,907529
6f75c3b9,Text4,142,826073
83a32dc1,Text1,30,97279
83a32dc1,Text2,119,580084
83a32dc1,Text3,336,1605802
83a32dc1,Text4,257,1497624
56105dbc,Text1,36,140906
56105dbc,Text2,467,2592708
56105dbc,Text3,628,3154794
56105dbc,Text4,95,663642
9e2e8b1a,Text1,6,26200
9e2e8b1a,Text2,63,357961
9e2e8b1a,Text3,701,3440050
9e2e8b1a,Text4,118,629757
6f4674dc,Text1,15,59419
6f4674dc,Text2,3335,11660256
6f4674dc,Text3,6127,23021110
6f4674dc,Text4,732,3997787
