Title,Body,Image Hash,Gender,Age Min,Age Max,Clicks,Impressions
Szukasz ciekawych osób ?,Nie zwlekaj. Dołącz do Duego już teraz i surfuj za FREE! Socializuj się i bądź na topie !,116698595132761:40b2e1869c404365471afdb2effedc12,Women,25,28,43,223307
Szukasz ciekawych osób ?,Nie zwlekaj. Dołącz do Duego już teraz i surfuj za FREE! Socializuj się i bądź na topie !,116698595132761:8c33b139c3720a7045767311af33e705,Women,25,28,1,10704
Szukasz ciekawych osób ?,Nie zwlekaj. Dołącz do Duego już teraz i surfuj za FREE! Socializuj się i bądź na topie !,116698595132761:de36e80732d3e2190003bda99acb73f4,Women,25,28,3,21062
Poznaj ludzi w Krakowie !,Spotkaj nowe osoby w twojej okolicy już dziś. Zaznaj rozrywki na Duego za FREE !,116698595132761:de36e80732d3e2190003bda99acb73f4,Women,25,28,5,31764
Poznaj ludzi w Krakowie !,Spotkaj nowe osoby w twojej okolicy już dziś. Zaznaj rozrywki na Duego za FREE !,116698595132761:40b2e1869c404365471afdb2effedc12,Women,25,28,63,308511
Szukasz ciekawych osób ?,Nie zwlekaj. Dołącz do Duego już teraz i surfuj za FREE! Socializuj się i bądź na topie !,116698595132761:6f75c3b93f13c42225954a820dcfe49d,Women,25,28,0,11888
Poznaj ludzi w Krakowie !,Spotkaj nowe osoby w twojej okolicy już dziś. Zaznaj rozrywki na Duego za FREE !,116698595132761:8c33b139c3720a7045767311af33e705,Women,25,28,8,47552
Szukasz ciekawych osób ?,Nie zwlekaj. Dołącz do Duego już teraz i surfuj za FREE! Socializuj się i bądź na topie !,116698595132761:83a32dc15ebdb84c61c2328b558865b2,Women,25,28,0,5072
Szukasz ciekawych osób ?,Nie zwlekaj. Dołącz do Duego już teraz i surfuj za FREE! Socializuj się i bądź na topie !,116698595132761:56105dbc02aa3b2d418a8fcd834bc532,Women,25,28,0,4901
Poznaj ludzi w Krakowie !,Spotkaj nowe osoby w twojej okolicy już dziś. Zaznaj rozrywki na Duego za FREE !,116698595132761:83a32dc15ebdb84c61c2328b558865b2,Women,25,28,0,4942
Szukasz ciekawych osób ?,Nie zwlekaj. Dołącz do Duego już teraz i surfuj za FREE! Socializuj się i bądź na topie !,116698595132761:9e2e8b1ab7de3f5aa3778a1110b0a700,Women,25,28,2,15777
Szukasz ciekawych osób ?,Nie zwlekaj. Dołącz do Duego już teraz i surfuj za FREE! Socializuj się i bądź na topie !,116698595132761:6f4674dcfff6b02531bd008e595f2eb8,Women,25,28,1,10821
Poznaj ludzi w Krakowie !,Spotkaj nowe osoby w twojej okolicy już dziś. Zaznaj rozrywki na Duego za FREE !,116698595132761:56105dbc02aa3b2d418a8fcd834bc532,Women,25,28,8,44848
Poznaj ludzi w Krakowie !,Spotkaj nowe osoby w twojej okolicy już dziś. Zaznaj rozrywki na Duego za FREE !,116698595132761:6f4674dcfff6b02531bd008e595f2eb8,Women,25,28,331,1521029
